relative_time,AccX,AccY,AccZ
0,2.585273895263672,0.2245330810546875,10.812914428710938
13,2.471809844970703,-0.1442999267578125,9.02682861328125
79,1.0424322509765624,-1.5982264709472658,9.606573028564453
146,1.0271640014648438,-1.0961705017089844,9.554331665039063
213,-0.09295669555664063,-2.438878326416016,9.101373596191406
279,1.2123289489746094,-0.8108638000488282,9.614356842041015
346,4.538711700439453,-2.022294616699219,10.205028533935547
413,1.7405804443359376,-1.490600280761719,9.309740295410156
478,1.6094531250000002,-1.3784834289550782,9.264534301757813
547,2.049687652587891,-0.9933343505859376,9.145980834960938
612,1.7664765930175783,-1.5768209838867189,9.596244506835937
678,2.006876678466797,-1.3843212890625,9.800719299316407
749,1.6959732055664063,-1.8211129760742188,9.492659912109376
812,1.4437477111816408,-1.925446014404297,9.291328582763672
880,1.6700770568847658,-1.6594491577148438,9.378447418212891
948,2.048789520263672,-1.7163308715820313,9.510772247314454
1013,1.7094451904296877,-1.9992425537109375,9.676926727294923
1081,1.5019766235351564,-1.556613006591797,9.491612091064454
1147,1.7898280334472658,-1.2243040466308595,9.471703491210938
1213,1.8911672973632814,-1.9655625915527344,9.783505096435547
1281,1.8471588134765626,-1.651365966796875,9.496851196289063
1347,1.859732666015625,-1.6718733215332031,9.311985626220704
1412,1.5361056518554688,-1.9288888549804688,9.60013641357422
1481,2.318229217529297,-1.3660592651367187,9.67632797241211
1547,1.9444564819335939,-1.813179473876953,9.244326324462891
1612,1.1353889465332032,-1.663341064453125,9.618248748779298
1681,1.8522482299804688,-1.264270935058594,9.523346099853516
1746,2.314636688232422,-1.2840298461914064,9.713301086425782
1813,2.183209991455078,-1.1838880920410157,9.47364944458008
1878,1.663191375732422,-1.5078144836425782,9.323511657714844
1946,2.271526336669922,-0.568817138671875,9.534123687744142
2013,2.286195831298828,-1.7274078369140626,9.593250732421875
2078,1.602118377685547,-1.4432986450195313,9.086853790283204
2146,2.2598506164550782,-1.5224839782714845,9.341474304199219
2212,2.22976318359375,-1.5515235900878908,9.483229522705079
2278,1.9505937194824219,-1.6711248779296877,9.512568511962892
2346,1.9956500244140627,-1.7042060852050782,9.562265167236328
2413,1.8820362854003907,-1.387614440917969,9.464069366455078
2481,2.1248313903808596,-1.423988800048828,9.523346099853516
2546,2.3284080505371096,-1.5425422668457032,9.813143463134766
2612,1.6197816467285158,-1.6088543701171876,9.575587463378907
2681,1.7860858154296877,-1.36276611328125,9.4507470703125
