relative_time,AccX,AccY,AccZ
0.0,0.2333647155761719,-0.6749464416503906,9.81374221801758
0.035,0.3215313720703125,-0.7691006469726563,9.763895874023438
0.101,0.4858895874023438,-0.8128097534179688,9.778265991210938
0.17,0.6042933654785156,-0.6848258972167969,9.627828826904295
0.237,0.6324348449707031,-0.5562432861328125,9.655371551513673
0.302,0.6957531738281251,-0.6724017333984376,9.772128753662107
0.369,0.6045927429199219,-0.746048583984375,9.6998291015625
0.437,0.7863148498535156,-0.5162763977050782,9.742041320800782
0.502,0.926722869873047,-0.7949967956542969,9.869127044677734
0.569,0.5948629760742188,-0.7403604125976563,9.805509338378906
0.636,0.6725514221191407,-0.6183641052246094,9.649234313964843
0.702,0.652642822265625,-0.6348298645019531,10.006990356445312
0.768,0.6574328613281251,-0.4908293151855469,9.659862213134764
0.835,0.8354127502441406,-0.6312373352050782,9.610315246582031
0.901,0.604742431640625,-0.6580316162109375,9.878258056640624
0.968,0.689615936279297,-0.4601431274414063,9.7764697265625
1.035,0.5679190063476562,-0.4102967834472656,9.63172073364258
1.102,0.8448431396484375,-0.5141807556152344,9.599387969970705
1.168,0.7232958984375001,-0.7445516967773438,9.88753875732422
1.235,1.0517129516601562,-0.6351292419433594,9.862391052246094
1.302,0.4764591979980469,-0.6090834045410156,9.886640625
1.369,0.678838348388672,-0.70174072265625,9.735305328369142
1.435,0.6219566345214844,-0.619112548828125,9.770482177734376
1.502,1.136436767578125,-0.8337661743164063,9.828561401367187
1.569,0.2374063110351562,-0.6614744567871094,10.034982147216798
1.635,1.1259585571289064,-0.5572911071777344,9.476493530273435
1.702,1.0638377380371091,-0.795146484375,9.730215911865235
1.768,0.6875202941894532,-0.871787109375,9.653126220703124
1.834,0.99872314453125,-0.8578660583496094,9.654623107910156
1.902,0.7200027465820313,-0.9735754394531252,9.87032455444336
1.969,0.5325924682617188,-0.9006770324707032,9.779014434814451
2.035,0.1995350646972656,-0.8244854736328125,9.734107818603515
2.102,0.5222639465332032,-0.8213420104980469,9.700128479003906
2.168,0.3541635131835938,-0.7461982727050782,9.681267700195312
2.235,0.3098556518554687,-0.9193881225585938,9.713450775146486
2.302,0.1523831176757812,-0.8557704162597657,9.920320587158203
2.368,0.262254638671875,-0.7503895568847657,9.86403762817383
2.435,0.0050894165039062,-0.9681866455078124,9.843380584716796
2.502,0.3799099731445313,-1.1404783630371094,9.906549224853515
2.568,0.4134402465820312,-0.7249424743652344,9.85161346435547
2.635,0.220341796875,-0.5505551147460938,9.50538345336914
2.702,0.0122744750976562,-0.9669891357421876,9.71988739013672
2.768,0.3062631225585938,-1.0039622497558591,9.95459930419922
2.835,0.2655477905273438,-0.9095086669921876,9.83918930053711
2.902,0.1727407836914062,-1.0651849365234376,9.56765396118164
2.968,0.1706451416015625,-0.942290496826172,9.74383758544922
3.035,0.1151106262207031,-0.8833131408691407,9.727970581054688
3.102,0.2577639770507812,-0.8367599487304688,9.679770812988282
3.168,0.1643582153320312,-1.0292596435546877,9.656868438720704
3.235,0.1947450256347656,-1.1087443542480468,10.06761428833008
