relative_time,AccX,AccY,AccZ
0.0,0.1698966979980468,-1.047072601318359,9.603728942871092
0.007,0.1698966979980468,-1.047072601318359,9.603728942871092
0.074,0.1466949462890625,-1.3939013671875,9.885892181396486
0.14,0.0649649047851562,-1.0602452087402343,9.445657653808594
0.208,-0.2484832763671875,-0.9175918579101564,10.074799346923829
0.274,0.0148191833496093,-1.7625846862792969,10.119705963134766
0.34,1.727856903076172,-1.0398875427246097,9.445807342529298
0.408,0.0223036193847656,-0.9924362182617188,9.34776123046875
0.474,0.4511618041992187,-1.2668156433105469,10.21760238647461
0.54,-0.3179388427734375,-1.6982185363769533,9.68590805053711
0.607,0.2856060791015625,-1.1526031494140625,9.90145980834961
0.674,-0.7879614257812501,-1.5359559631347657,9.581425323486329
0.74,0.2881507873535156,-1.302591247558594,9.545799407958985
0.807,1.405577087402344,-1.0361453247070314,9.50433563232422
0.874,-0.6985972595214844,-1.159339141845703,9.490863647460936
0.94,0.2224374389648437,-1.0523117065429688,9.930798797607425
1.008,-0.2595602416992187,-1.7257612609863282,9.913285217285155
1.073,0.5051994323730469,-1.186582489013672,10.145452423095705
1.14,-0.0092807006835937,-1.4151571655273438,9.91238708496094
1.208,0.3839515686035156,-1.2133767700195313,9.483678588867187
1.274,0.346080322265625,-1.6028668212890629,9.717642059326172
1.34,-0.2362088012695312,-1.6110997009277344,9.621990966796876
1.407,0.4450245666503906,-1.3817765808105469,10.127190399169924
1.474,0.1805245971679687,-1.4891033935546876,9.801467742919922
1.54,0.2189945983886718,-1.6742683410644532,9.894125061035156
1.607,0.5869294738769532,-1.0412347412109375,9.488618316650392
1.674,0.2290237426757812,-1.638043670654297,9.628277893066407
1.74,0.39996826171875,-1.5379019165039065,9.607171783447264
1.808,0.3370989990234375,-1.1133847045898435,9.481433258056642
1.874,-0.2273771667480469,-1.5678396606445313,9.935588836669922
1.94,0.3348536682128906,-0.9277706909179688,9.449998626708984
2.008,0.3323089599609375,-1.7845889282226564,10.3033740234375
2.074,0.219144287109375,-1.6604969787597657,9.531878356933596
2.14,0.2092648315429687,-1.5094610595703126,9.685159606933594
2.21,-0.0387693786621093,-1.59029296875,9.975555725097657
2.274,0.2019300842285156,-1.6521144104003906,9.948611755371097
2.343,0.2639012145996094,-1.6733702087402345,9.79757583618164
2.409,-0.1854643249511718,-1.8276992797851563,9.507329406738284
2.476,0.7801776123046875,-1.2972024536132811,10.03318588256836
2.542,-0.028740234375,-1.8564395141601564,9.752220153808594
2.609,0.4608915710449219,-1.362466735839844,9.46601531982422
2.674,0.4665797424316406,-1.5558645629882812,9.74817855834961
2.741,-0.5987548828125,-1.6528628540039063,9.85071533203125
2.808,0.350870361328125,-1.144669647216797,9.564510498046875
2.874,-0.0636177062988281,-1.5940351867675782,9.682016143798828
2.941,0.1574725341796875,-1.6531622314453125,9.781259765625
3.007,-0.0507444763183593,-1.5417938232421875,9.60971649169922
3.074,-0.0887654113769531,-1.4232403564453129,9.637408905029297
3.141,-0.0803828430175781,-1.4721885681152345,9.490264892578123
3.208,-0.0345780944824218,-1.816772003173828,9.757459259033205
3.274,-0.1061293029785156,-1.8097366333007816,9.76015365600586
3.341,-0.1555265808105468,-1.4992822265625,9.583820343017578
3.407,-0.1956431579589843,-1.4447955322265629,9.78170883178711
3.474,0.3231779479980469,-1.6845968627929688,9.658215637207032
3.54,-0.1817221069335937,-1.6387921142578126,9.734706573486328
3.608,0.2170486450195312,-1.8074913024902344,9.977950744628906
3.674,0.3471281433105468,-1.5486795043945314,9.987081756591795
3.74,-0.4188290405273437,-1.866618347167969,9.51631072998047
3.808,0.650247802734375,-1.3412109375,9.472601623535155
3.874,-0.2365081787109375,-1.9981947326660157,9.519903259277344
